Sl No.,Shutdown Reason,Date,Area/Feeder/Section Name,Time From,To Time,Shutdown Form Details,Shutdown Receiver,Shutdown Provider,Service Order No./Date,Remarks,DateTime(Time_From),DateTime(To_Time),Duration,                           
,ঠিকাদার কাজের স্বার্থে। ,24-09-2020,৩নং ফিডার। ,16:20,16:48,ট্রিপ করে ব্রেকার আউট।,তাহেরুল/মাহবুব।,সেলিম। ,A.G.M(O&M),ক্লিয়ারেন্স পেয়ে চালু করা হল।,2020-09-24 16:20:00,2020-09-24 16:48:00,0 days 00:28:00,112.0
,HT জাম্পার পুড়া। ,25-09-2020,ফিডার নং-৪,10:10,10:30,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,হাসান,কামরুল,A.G.M(O&M),,2020-09-25 10:10:00,2020-09-25 10:30:00,0 days 00:20:00,113.0
,পুশপোল স্থাপন। ,25-09-2020,২নং ফিডার। ,11:25,11:55,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,কামাল,কামরুল,A.G.M(O&M),,2020-09-25 11:25:00,2020-09-25 11:55:00,0 days 00:30:00,114.0
,H.T জাম্পার। ,25-09-2020,৩নং ফিডার তালতলী।,12:05,13:20,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,তাহেরুল। ,কামরুল,A.G.M(O&M),,2020-09-25 12:05:00,2020-09-25 13:20:00,0 days 01:15:00,115.0
,HT জাম্পার করার জন্য। ,28-09-2020,৩নং তালতলী ফিডার। ,16:00,17:20,ব্রেকার বাহির করে শাটডাউন প্রদান করা হয়। ,মাহবুব। ,A.Rahman ,A.G.M(O&M),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হল।,2020-09-28 16:00:00,2020-09-28 17:20:00,0 days 01:20:00,117.0
,লাইনের ক্রস আর্ম পরিবর্তন করার জন্য। ,28-09-2020,২নং ফিডার। ,17:00,18:00,ফিডারের ব্রেকার বাহির করণ। ,তাহেরুল LM-1,A.Rahman ,DGM মহোদয়। ,,2020-09-28 17:00:00,2020-09-28 18:00:00,0 days 01:00:00,118.0
,লাইটিং ব্যারিষ্ট স্থাপন। ,28-09-2020,৫নং ফিডার। ,11:15,11:55,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,মনির। ,কামরুল।,A.G.M(O&M),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হল।,2020-09-28 11:15:00,2020-09-28 11:55:00,0 days 00:40:00,116.0
,পুশপোল স্থাপন। ,29-09-2020,১নং কেওয়া ফিডার। ,15:05,15:55,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,মনির,কামরুল,A.G.M(O&M),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হল।,2020-09-29 15:05:00,2020-09-29 15:55:00,0 days 00:50:00,119.0
,X-ফরমার স্থাপনের জন্য। ,29-09-2020,৮নং বেড়াইদের চালা। ,18:45,19:45,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,মনির। ,কামরুল। ,A.G.M(O&M),,2020-09-29 18:45:00,2020-09-29 19:45:00,0 days 01:00:00,120.0
,XFR উত্তোলন। ,30-09-2020,২নং ফিডার। ,17:20,18:20,২নং ফিডারের ব্রেকার আউট। ,আবু ঠিকাদার,আ:কাইয়ুম Lm-1,,,2020-09-30 17:20:00,2020-09-30 18:20:00,0 days 01:00:00,121.0
,XFR উত্তোলন করার জন্য। ,02-10-2020,৩নং তালতলী ফিডার। ,14:00,14:50,৩নং ফিডারের ব্রেকার আউট করে শাটডাউন। ,আব্দুল ওয়াদুদ,আ:রহমান,A.G.M(O&M) Sir.,,2020-02-10 14:00:00,2020-02-10 14:50:00,0 days 00:50:00,122.0
,ঠিকাদার লাইন করার জন্য। ,03-10-2020,৪নং ফিডারের একতার টেপ। ,08:00,,Section বন্ধ করে শাটডাউন দেওয়া হয়। ,ঠিকাদার,আ:রহমান,DGM/(O&M) দুইস্যার অবগত আছে। ,,2020-03-10 08:00:00,,,123.0
,ROW করার জন্য। ,03-10-2020,২নং ন্যাশনাল ফিডার। ,10:00,13:30,২নং ফিডারের ট্রিপ করে ব্রেকার আউট করা হয় ।,"JE কামরুজ্জামান , LT ওবায়দুর রহমান। ",আ:রহমান। ,A.G.M(O&M) Sir অবগত আছেন। ,,2020-03-10 10:00:00,2020-03-10 13:30:00,0 days 03:30:00,124.0
,ঠিকাদার কর্তৃক ফিটিংস করণ। ,05-10-2020,২ ও ৩নং ফিডার। ,12:00,14:00,ট্রিপ করে ব্রেকার বের করে দেওয়া হয়। ,আ:রহমান,তাহেরুল,A.G.M(O7M),কাজ শেষে ক্লিয়ারেন্স দেওয়ায় লাইন চালু করা হল।,2020-05-10 12:00:00,2020-05-10 14:00:00,0 days 02:00:00,125.0
,H.T জাম্পার এর জন্য। ,06-10-2020,১নং কেওয়া ফিডার। ,16:30,,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,মো:রফিকুল,কামরুল। ,A.G.M(O&M),,2020-06-10 16:30:00,,,126.0
,ROW কাজের স্বার্থে। ,08-10-2020,৩নং ফিডার। ,09:00,,ট্রিপ ব্রেকার ডাউন। ,LT ওবায়দুর রহমান,সেলিম Lm-1 ,AGM(O&M),কাজ শেষে ক্লিয়ারেন্স পেয়ে ব্রেকার ঢুকিয়ে লাইন চালু করা হল।,2020-08-10 09:00:00,,,127.0
,XFR উত্তোলন। ,09-10-2020,৪নং ফিডার। ,11:40,12:30,XFR উত্তোলন,ঈশ্বর/হাসমত। ,আ:ওয়াদুদ,DGM(O&M) মহোদয়। ,কাজ শেষে ক্লিয়ারেন্স নিয়ে নিরাপদে রেখে লাইন চালু করা হয়েছে। ,2020-09-10 11:40:00,2020-09-10 12:30:00,0 days 00:50:00,128.0
,পুশপোল স্থাপনের জন্য। ,09-10-2020,৯নং ফিডার। ,15:10,16:10,ব্রেকার আউট করে শাটডাউন প্রদান করা হয়। ,"JE ইলিয়াস, মনির ঠিকাদার বাড়ী। ",আ:রহমান,AGM(O&M) Sir ,,2020-09-10 15:10:00,2020-09-10 16:10:00,0 days 01:00:00,129.0
,X-ফরমার পরিবর্তন। ,10-10-2020,১ ও ৫নং ফিডার।,21:20,,ব্রেকার আউট করে শাটডাউন। ,আজাদ,ওয়াদুদ,AGM(O&M) Sir ,,2020-10-10 21:20:00,,,131.0
,X-ফরমার পরিবর্তনের জন্য। ,10-10-2020,৬নং ফিডার। ,16:00,16:38,ব্রেকার আউট করে শাটডাউন প্রদান। ,আজাদ,হাসান,AGM(O&M) Sir.,,2020-10-10 16:00:00,2020-10-10 16:38:00,0 days 00:38:00,130.0
,R.O.W করণ। ,11-10-2020,১১নং ফিডার। ,15:30,,R.O.W করণ। ,"ওবায়দুর, ইউনুস, কাইয়ুম। ",আ:ওয়াদুদ,DGM Sir ,কাজ শেষে নিরাপদে রেখে লাইন চালু করা হয়েছে।,2020-11-10 15:30:00,,,132.0
,মো:আসাদুজ্জামান 33KV লাইনে জাম্পার করার জন্য। ,11-10-2020,৪নং ফিডার। ,17:20,18:20,33KV জাম্পার করার জন্য।,আসাদুজ্জামান,আ:ওয়াদুদ,AGM(O&M),কাজ শেষে নিরাপদে রেখে লাইন চালু করা হয়েছে। ,2020-11-10 17:20:00,2020-11-10 18:20:00,0 days 01:00:00,133.0
,X-Former ব্যাংক করণ। ,12-10-2020,৫নং ফিডার। ,14:08,15:08,ব্রেকার আউট করে শাটডাউন দেওয়া হয়। ,মনির,মোশতাক,DGM Sir.,কাজ শেষে ক্লিয়ারেন্স পেয়ে ব্রেকার ঢুকিয়ে লাইন চালু করা হল।,2020-12-10 14:08:00,2020-12-10 15:08:00,0 days 01:00:00,134.0
,XFR উত্তোলন করণ। ,13-10-2020,৪নং ফিডার। ,17:00,18:00,ব্রেকার আউট। ,মোস্তাক,আ:কাইয়ুম,AGM(O&M),,2020-10-13 17:00:00,2020-10-13 18:00:00,0 days 01:00:00,135.0
,HT জাম্পার করণ। ,13-10-2020,২নং ফিডার। ,17:00,17:25,ব্রেকার আউট করে। ,কামরুল,আ:কাইয়ুম,JE(Sojib),লাইনে কাজ শেষ করে নিরাপদে থেকে জানালে লাইন চালু করা হয়। ,2020-10-13 17:00:00,2020-10-13 17:25:00,0 days 00:25:00,136.0
,ঠিকাদার কর্তৃক শাটডাউন। ,14-10-2020,৪নং ফিডার। ,09:52,10:20,ট্রিপ ব্রেকার ডাউন। ,ওয়াদুদ,সেলিম,AGM(O&M), ক্লিয়ারেন্স পেয়ে চালু করা হয়।,2020-10-14 09:52:00,2020-10-14 10:20:00,0 days 00:28:00,137.0
,ঠিকাদার কর্তৃক শাটডাউন। ,14-10-2020,৪নং ফিডার। ,11:58,12:51,ট্রিপ করে ব্রেকার ডাউন দেওয়া আছে। ,ওয়াদুদ,সেলিম,AGM(O&M),ক্লিয়ারেন্স পেয়ে চালু করা হয়। ,2020-10-14 11:58:00,2020-10-14 12:51:00,0 days 00:53:00,138.0
,ঠিকাদার কর্তৃক শাটডাউন। ,14-10-2020,৭নং ফিডার। ,12:56,13:55,ট্রিপ করে ব্রেকার ডাউন দেওয়া আছে। ,ওয়াদুদ,সেলিম,AGM(O&M),ক্লিয়ারেন্স পেয়ে চালু। ,2020-10-14 12:56:00,2020-10-14 13:55:00,0 days 00:59:00,139.0
,ঠিকাদার কর্তৃক শাটডাউন। ,14-10-2020,৩নং ফিডার। ,13:40,13:50,ট্রিপ করিয়ে ব্রেকার ডাউন দেওয়া আছে। ,ওয়াদুদ,সেলিম। ,AGM(O&M),,2020-10-14 13:40:00,2020-10-14 13:50:00,0 days 00:10:00,140.0
,পুশপোল স্থাপনের জন্য। ,15-10-2020,৪নং ফিডার। ,10:05,10:55,ফিডার ট্রিপ করে ব্রেকার বের করা হয়।,আ:ওয়াদুদ,কামরুল,A.G.M(O&M),কাজ শেষে ক্লিয়ারেন্স নিয়া লাইন চালু করা হয়। ,2020-10-15 10:05:00,2020-10-15 10:55:00,0 days 00:50:00,141.0
,পুশপোল স্থাপন। ,15-10-2020,১নং কেওয়া ফিডার। ,13:50,14:45,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,মনির,কামরুল,A.G.M(O&M),,2020-10-15 13:50:00,2020-10-15 14:45:00,0 days 00:55:00,143.0
,X-ফরমার স্থাপন। ,15-10-2020,১নং কেওয়া ফিডার। ,11:50,12:30,ফিডার ট্রিপ করে ব্রেকার বের করা হয়।,মো:তাহেরুল,কামরুল,A.G.M(O&M),কাজ শেষে ক্লিয়ারেন্স নিয়া লাইন চালু করা হয়।,2020-10-15 11:50:00,2020-10-15 12:30:00,0 days 00:40:00,142.0
,HT জাম্পার করার জন্য। ,15-10-2020,৯নং ফিডার।,14:20,14:40,ব্রেকার বাহির করে শাটডাউন প্রদান করা । ,তাহেরুল,A.Rahman ,A.G.M(O&M),,2020-10-15 14:20:00,2020-10-15 14:40:00,0 days 00:20:00,144.0
,ROW করার জন্য।,18-10-2020,১০নং ফিডার। ,01:30,11:30,ব্রেকার আউট করে শাটডাউন প্রদান। ,অটল চন্দ্র সরকার। ,A.Rahman,A.G.M(O&M),,2020-10-18 01:30:00,2020-10-18 11:30:00,0 days 10:00:00,145.0
,ROW কাজ করার জন্য। ,19-10-2020,"১০,১১নং ফিডার। ",09:25,17:20,S/S থেকে ব্রেকার আউট করে শাটডাউন প্রদান করা হয়েছে। ,"মো:ওবায়দুর রহমান, মনির, আসাদুজ্জামান। ",Atol,A.G.M(O&M) এর নির্দেশে। ,,2020-10-19 09:25:00,2020-10-19 17:20:00,0 days 07:55:00,146.0
,XFR নামানো। ,19-10-2020,৫ ও ৮নং ফিডার। ,14:00,14:30,S/S থেকে ব্রেকার বের করে। ,কামরুল ইসলাম। ,Atol,AGM(O&M) স্যারের নির্দেশে শাটডাউন প্রদান করা হয়। ,,2020-10-19 14:00:00,2020-10-19 14:30:00,0 days 00:30:00,147.0
,HT জাম্পার করার জন্য। ,19-10-2020,১১নং ফিডার। ,21:25,22:00,ব্রেকার আউট করে। ,মাহবুব। ,A.Rahman,AGM(O&M) Sir ,,2020-10-19 21:25:00,2020-10-19 22:00:00,0 days 00:35:00,148.0
,XFR তোলার জন্য। ,21-10-2020,"২ , ১০ ও ২০ নং ফিডার ।",12:10,13:10,ব্রেকার আউট করে শাটডাউন প্রদান করা হয়। ,মনির ।,A.Rahman,JE(Kamrul),,2020-10-21 12:10:00,2020-10-21 13:10:00,0 days 01:00:00,149.0
,HT জাম্পার পুড়া। ,21-10-2020,"৫, ১, ৬নং ফিডার। ",17:20,17:30,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,মনির,কামরুল,A.G.M(O&M),কাজ শেষে ক্লিয়ারেন্স নিয়া লাইন চালু করা হল। ,2020-10-21 17:20:00,2020-10-21 17:30:00,0 days 00:10:00,150.0
,HT জাম্পার করে নতুন লাইন চালু। ,21-10-2020,৭নং ফিডার। ,18:10,18:40,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,রুফিক,কামরুল,A.G.M(O&M),কাজ শেষে ক্লিয়ারেন্স নিয়া লাইন চালু করা হল। ,2020-10-21 18:10:00,2020-10-21 18:40:00,0 days 00:30:00,151.0
,R.O.W এর জন্য। ,21-10-2020,৪নং ফিডার। ,12:25,18:55,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,ওবায়দুর রহমান,কামরুল,A.G.M(O&M),কাজ শেষে ক্লিয়ারেন্স নিয়া লাইন চালু করা হল। ,2020-10-21 12:25:00,2020-10-21 18:55:00,0 days 06:30:00,152.0
,ট্রান্সফরমার পরিবর্তনের জন্য। ,24-10-2020,৪নং ফিডার। ,18:50,,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,ওয়াদুদ,কামরুল,A.G.M(O&M),,2020-10-24 18:50:00,,,153.0
,X-আর্ম পরিবর্তন। ,26-10-2020,৪নং ফিডার।,13:10,14:40,ব্রেকার বাহির করে শাটডাউন দেওয়া হয়। ,আসাদুজ্জামান,ওবায়দুর,A.G.M(O&M),কাজ শেষে ক্লিয়ারেন্স দেওয়ার পর লাইন চালু করা হয়।,2020-10-26 13:10:00,2020-10-26 14:40:00,0 days 01:30:00,155.0
,H.T জাম্পার করার জন্য। ,26-10-2020,"৫,১,৬নং ফিডার। ",08:10,08:50,ব্রেকার ট্রিপ করে ব্রেকার বাহির করে দেওয়া হয়। ,মনির,ওবায়দুর,A.G.M(O&M),কাজ শেষে ক্লিয়ারেন্স দেওয়ার পর লাইন চালু করা হয়। ,2020-10-26 08:10:00,2020-10-26 08:50:00,0 days 00:40:00,154.0
,ব্যাংককরণ। ,27-10-2020,৩নং ফিডার।,14:15,14:30,ব্রেকার বের করে শাটডাউন দেওয়া হয়। ,তাহেরুল,মোশতাক,AGM(O&M),,2020-10-27 14:15:00,2020-10-27 14:30:00,0 days 00:15:00,156.0
,পুশপোল স্থাপনের জন্য।,28-10-2020,৭নং ফিডার 33KV সহ।,14:05,15:05,ব্রেকার বের করে শাটডাউন। ,কামরুজ্জামান। ,অটল।,উজ্জ্বল স্যার (JE) নির্দেশে। ,,2020-10-28 14:05:00,2020-10-28 15:05:00,0 days 01:00:00,157.0
,ROW কাজ করার জন্য। ,28-10-2020,৩নং ফিডার। ,14:35,17:00,ব্রেকার আউট করে শাটডাউন। ,ওবায়দুর রহমান,অটল,উজ্জ্বল স্যার (JE) নির্দেশে। ,,2020-10-28 14:35:00,2020-10-28 17:00:00,0 days 02:25:00,158.0
,H.T জাম্পার পুড়া। ,29-10-2020,৮নং ফিডার।,15:00,15:20,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,মনির,কামরুল,মো:কামরুজ্জামান J.E নির্দেশে। ,কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হল।,2020-10-29 15:00:00,2020-10-29 15:20:00,0 days 00:20:00,159.0
,X-ফরমার আপগ্রেড এর জন্য। ,30-10-2020,৪নং ফিডার। ,08:40,09:20,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,আ:ওয়াদুদ,কামরুল। ,মো:কামরুজ্জামান J.E নির্দেশে। ,কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হল।,2020-10-30 08:40:00,2020-10-30 09:20:00,0 days 00:40:00,160.0
,X-ফরমার আপগ্রেড। ,30-10-2020,১১নং ফিডার। ,11:25,12:30,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,মনির,কামরুল,কামরুজ্জামান J.E নির্দেশে। ,কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হল।,2020-10-30 11:25:00,2020-10-30 12:30:00,0 days 01:05:00,161.0
,ঠিকাদার এর কাজ। ,30-10-2020,১১নং ফিডার। ,03:35,04:10,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,মনির,,,,2020-10-30 03:35:00,2020-10-30 04:10:00,0 days 00:35:00,162.0
,মনির ঠিকাদার মনির।,31-10-2020,১নং ফিডার।,12:18,,ব্রেকার বের করে শাটডাউন দেওয়া হয়। ,মনির,মোশতাক।,AGM(O&M),,2020-10-31 12:18:00,,,163.0
,X-ফরমার পরিবর্তন।,31-10-2020,১০ ও ১১নং ফিডার। ,15:50,16:40,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,মনির,কামরুল,কামরুজ্জামান J.E,,2020-10-31 15:50:00,2020-10-31 16:40:00,0 days 00:50:00,164.0
,X-ফরমার পরিবর্তন। ,31-10-2020,৪নং ফিডার। ,16:40,17:30,ফিডার ট্রিপ করে বের করা হয়।,সেলিম প্রামাণিক,কামরুল ,উজ্জ্বল স্যার (JE) নির্দেশে। ,,2020-10-31 16:40:00,2020-10-31 17:30:00,0 days 00:50:00,165.0
,ROW কাজ করার জন্য। ,01-11-2020,৪নং শিশুপল্লী ফিডার। ,14:50,,ব্রেকার আউট করে শাটডাউন প্রদান করা। ,ওবায়দুর রহমান,A.Rahman,,,2020-01-11 14:50:00,,,167.0
,R.O.W এর জন্য। ,01-11-2020,৪নং ফিডার। ,13:30,14:10,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,মো:তাহেরুল,কামরুল,JE উজ্জ্বল স্যারের নির্দেশক্রমে। ,,2020-01-11 13:30:00,2020-01-11 14:10:00,0 days 00:40:00,166.0
,X-ফরমার পরিবর্তন। ,02-11-2020,৬নং ফিডার। ,13:10,,ব্রেকার বের করা হয়। ,ইব্রাহীম,আজাদ,JE(K),,2020-02-11 13:10:00,,,169.0
,তার ছেড়ার জন্য। ,02-11-2020,৫নং ফিডার। ,11:20,11:35,ট্রিপ করে ব্রেকার বের করে দেওয়া হয়। ,ইব্রাহীম,আজাদ,DGM মহোদয়,ব্রেকার ইন করে চালু করা হয়। ,2020-02-11 11:20:00,2020-02-11 11:35:00,0 days 00:15:00,168.0
,R.O.W করণ। ,03-11-2020,৭নং ফিডার। ,15:05,17:05,R.O.W করণ। ,মো:ওবায়দুর,আ:ওয়াদুদ,,,2020-03-11 15:05:00,2020-03-11 17:05:00,0 days 02:00:00,171.0
,XFR Change ,03-11-2020,৯নং ফিডার।,17:48,,XFR Change ,আ:রহমান,আ:ওয়াদুদ,JE(K),,2020-03-11 17:48:00,,,173.0
,লতা কাটার জন্য। ,03-11-2020,৬নং ফিডার।,17:35,,লতা কাটার জন্য। ,মনির।,আ:ওয়াদুদ,,,2020-03-11 17:35:00,,,172.0
,XFR ফরমার পরিবর্তন। ,03-11-2020,৭নং ফিডার।,15:00,17:00,XFR Change ,আ:রহমান,আ:ওয়াদুদ,JE(K),লাইনের ক্লিয়ারেন্স নিয়ে চালু করা R.O.W কাজ শেষে চালু করা হয়। ,2020-03-11 15:00:00,2020-03-11 17:00:00,0 days 02:00:00,170.0
,XFR নতুন উঠানো।,05-11-2020,৪নং ফিডার।,10:35,12:35,ব্রেকার বের করা হয়। ,কামরুল,আজাদ,JE(K),ব্রেকার ইন করে লাইন চালু করা হয়। ,2020-05-11 10:35:00,2020-05-11 12:35:00,0 days 02:00:00,174.0
,XFR নতুন উঠানো। ,05-11-2020,৬নং ফিডার। ,12:35,13:15,ব্রেকার বের করা হয়। ,মুস্তাক,আজাদ,JE(K),ব্রেকার ইন করে লাইন চালু করা হয়। ,2020-05-11 12:35:00,2020-05-11 13:15:00,0 days 00:40:00,175.0
,ROW কাজের জন্য।,07-11-2020, ৩নং ফিডার। ,09:10,13:24,ট্রিপ ব্রেকার ডাউন। ,LT ওবায়দুর,সেলিম,JE কামরুজ্জামান,ক্লিয়ারেন্স পেয়ে চালু করা হয়। ,2020-07-11 09:10:00,2020-07-11 13:24:00,0 days 04:14:00,176.0
,X-Former পরিবর্তন। ,07-11-2020,৪নং ফিডার।,12:32,14:00,ট্রিপ ব্রেকার ডাউন।,অটল/রহমান,সেলিম,DGM মহোদয়,ক্লিয়ারেন্স পেয়ে চালু করা হয়। ,2020-07-11 12:32:00,2020-07-11 14:00:00,0 days 01:28:00,177.0
,ROW কাজের জন্য।,08-11-2020,১নং ফিডার কেওয়া বাজার।,12:42,14:10,ট্রিপ করে ব্রেকার ডাউন দেওয়া হয়। ,LT ওবায়দুর,,DGM মহোদয়,ক্লিয়ারেন্স পাওয়ার পরে লাইন চালু করা হয়। ,2020-08-11 12:42:00,2020-08-11 14:10:00,0 days 01:28:00,178.0
,R.O.W কাজের জন্য। ,08-11-2020,১নং কেওয়া ফিডার।,14:40,16:55,ফিডার ট্রিপ করে ব্রেকার বের করা হয়।,LT ওবায়দুর,কামরুল,DGM,কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হল।,2020-08-11 14:40:00,2020-08-11 16:55:00,0 days 02:15:00,179.0
,X-ফরমার পরিবর্তনের জন্য। ,08-11-2020,৫নং চৌরাস্তা ফিডার। ,15:10,15:45,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,সেলিম প্রামাণিক,কামরুল,D.G.M  স্যারের অনুমতি সাপেক্ষে।,কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হল।,2020-08-11 15:10:00,2020-08-11 15:45:00,0 days 00:35:00,180.0
,H.T জাম্পারের জন্য। ,09-11-2020,৬নং ফিডার।,11:35,11:45,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,তাহেরুল,কামরুল,AGM(O&M),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হল।,2020-09-11 11:35:00,2020-09-11 11:45:00,0 days 00:10:00,181.0
,H.T জাম্পার আউট করে ঠিকাদার মনিরের লোক। ,09-11-2020,৬নং ফিডার। ,13:15,,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,মনির,কামরুল,A.G.M(O&M),,2020-09-11 13:15:00,,,182.0
,HT জাম্পার করার জন্য। ,10-11-2020,৪নং ফিডার।,16:15,16:50,ফিডারের ব্রেকার বের করা দেওয়া হয়। ,ওবায়দুর রহমান,A.Rahman,A.G.M(O&M),,2020-10-11 16:15:00,2020-10-11 16:50:00,0 days 00:35:00,185.0
,H.T জাম্পারের জন্য জিয়া পাওয়ার। ,10-11-2020,২নং ফিডার।,13:50,14:45,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,আ:কাইয়ুম,কামরুল,A.G.M(O&M),,2020-10-11 13:50:00,2020-10-11 14:45:00,0 days 00:55:00,184.0
,R.O.W এর জন্য। ,10-11-2020,৪নং ফিডার।,12:20,13:30,ফিডার ট্রিপ করে ব্রেকার বের করা হয়।,আ:ওবায়দুর রহমান,কামরুল,A.G.M(O&M),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হল।,2020-10-11 12:20:00,2020-10-11 13:30:00,0 days 01:10:00,183.0
,H.T জাম্পার করার জন্য। ,11-11-2020,৬নং ফিডার। ,12:00,,ব্রেকার আউট।,মনির,আ:কাইয়ুম।,AGM(O&M),,2020-11-11 12:00:00,,,186.0
,R.O.W এর জন্য। ,12-11-2020,৭নং ফিডার।,09:20,13:20,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,ওবায়দুর রহমান,কামরুল,AGM(O&M),,2020-12-11 09:20:00,2020-12-11 13:20:00,0 days 04:00:00,187.0
,ক্রস আর্ম পরিবর্তনের জন্য। ,12-11-2020,২নং ন্যাশনাল ফিডার।,11:10,11:50,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,আ:কাইয়ুম,কামরুল,A.G.M(O&M),,2020-12-11 11:10:00,2020-12-11 11:50:00,0 days 00:40:00,188.0
,X-ফরমার বিভাজন।,12-11-2020,৬নং ফিডার।,12:20,13:20,ফিডার ট্রিপ করে ব্রেকার বের করা হয়। ,তাহেরুল,কামরুল,A.G.M(O&M),,2020-12-11 12:20:00,2020-12-11 13:20:00,0 days 01:00:00,189.0
,পুশপোল স্থাপনের জন্য নাজিম ঠিকাদার।,12-11-2020,১নং কেওয়া ফিডার।,13:25,,ফিডার ট্রিপ করে ব্রেকার বের করণ। ,মনির,কামরুল,A.G.M(O&M),,2020-12-11 13:25:00,,,190.0
,HT জাম্পার করার জন্য। ,13-11-2020,৭নং সামিট ফিডার। ,09:40,10:10,ব্রেকার বাহির করে।,আ:ওয়াদুদ,A.Rahman,A.G.M(O&M) Sir,,2020-11-13 09:40:00,2020-11-13 10:10:00,0 days 00:30:00,191.0
,ঠিকাদার পুশপোল স্থাপনের জন্য। ,13-11-2020,৪নং ফিডার।,14:10,,ব্রেকার বাহির করে।,আ:ওয়াদুদ,A.Rahman ,A.G.M(O&M) Sir ,,2020-11-13 14:10:00,,,192.0
,XFR পরিবর্তন।,14-11-2020,৪নং ফিডার।,18:00,19:00,ফিডারের ব্রেকার বের করে।,ওয়াদুদ,অটল।,AGM(O&M),,2020-11-14 18:00:00,2020-11-14 19:00:00,0 days 01:00:00,194.0
,R.O.W করার জন্য।,14-11-2020,৭নং ফিডার।,09:25,09:35,ব্রেকার আউট।,ওবায়দুর,আ:কাইয়ুম,AGM(O&M),,2020-11-14 09:25:00,2020-11-14 09:35:00,0 days 00:10:00,193.0
,XFR উত্তোলন,15-11-2020,৬নং ফিডার।,13:30,,৬নং ব্রেকার আউট।,আ:রহমান,আ:কাইয়ুম,AGM(O&M),,2020-11-15 13:30:00,,,195.0
,ROW কাজের জন্য।,16-11-2020,১নং ফিডার।,09:30,13:21,ট্রিপ করে ব্রেকার ডাউন।,ওবায়দুর/ইউনুস,সেলিম,AGM(O&M),ক্লিয়ারেন্স পেয়ে চালু করা হয়। ,2020-11-16 09:30:00,2020-11-16 13:21:00,0 days 03:51:00,196.0
,ট্রান্সফরমার উত্তোলনের জন্য। ,16-11-2020,৫নং চৌরাস্তা ফিডার।,14:05,14:35,ব্রেকার আউট করে।,মাহবুব,A.Rahman,DGM মহোদয় Sir ,,2020-11-16 14:05:00,2020-11-16 14:35:00,0 days 00:30:00,197.0
,ROW করার জন্য। ,16-11-2020,,14:20,16:50,ব্রেকার আউট করে দেওয়া হয়।,ওবায়দুর রহমান/ ইব্রাহীম।,A.Rahman,AGM(O&M) Sir.,,2020-11-16 14:20:00,2020-11-16 16:50:00,0 days 02:30:00,198.0
,HT জাম্পার করার জন্য। ,16-11-2020,৯নং ফিডার।,16:10,16:40,ব্রেকার আউট করে দেওয়া হয়।,ইব্রাহীম।,A.Rahman,A.G.M(O&M) Sir.,,2020-11-16 16:10:00,2020-11-16 16:40:00,0 days 00:30:00,199.0
,H.T জাম্পার করার জন্য। ,16-11-2020,৬নং ফিডার। ,16:25,16:50,ব্রেকার আউট করা হয়। ,ইব্রাহীম,A.Rahman,A.G.M(O&M),,2020-11-16 16:25:00,2020-11-16 16:50:00,0 days 00:25:00,200.0
