Sl No.,Shutdown Reason,Date,Area/Feeder/Section Name,Time From,To Time,Shutdown Form Details,Shutdown Receiver,Shutdown Provider,Service Order No./Date,Remarks,DateTime(Time_From),DateTime(To_Time),Duration,                           
15,X-former ব্যাংক করার জন্য,21-10-2019,মাওনা চৌরাস্তা ৫ নং + ১ নং কেওয়া ফিডার,16:50,17:30,ফিডার ট্রিপ করে ব্রেকার বের করে শাটডাউন দেয়া হয়।,মনির LM-1,শাহ আলম LM-1,JE (Kamrujamman) ,কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হয়।,2019-10-21 16:50:00,2019-10-21 17:30:00,0 days 00:40:00,
14,ট্রান্সফরমার উত্তোলন,21-10-2019,৮ নং বেড়াইদের চালা,11:45,12:20,ফিডার ট্রিপ করে ব্রেকার বের করা হয়।,,কামরুল,JE (kamrul),কাজ শেষে ক্লিয়ারেন্স নিয়ে লাইন চালু করা হয়।,2019-10-21 11:45:00,2019-10-21 12:20:00,0 days 00:35:00,
15,X-ফর্মার ব্যাংক করার জন্য (মাওনা চৌরাস্তা),21-10-2019,মাওনা চৌরাস্তা ৫ নং ও ১ নং কেওয়া ফিডার,16:50,17:30,ট্রিপ করে ব্রেকার বাহির করা হয়।,মনির LM-1 , শাহ আলম  LM-1,J.E (Kamrujaman) , কাজ শেষে ক্লিয়ারেন্স দেওয়ায় লাইন চালু করা হয়,2019-10-21 16:50:00,2019-10-21 17:30:00,0 days 00:40:00,
15,X-former ব্যাংক করার জন্য (মাওনা চৌরাস্তা),21-10-2019,মাওনা চৌরাস্তা ৫ ও ১ নং কেওয়া ফিডার,16:50,17:30,ট্রিপ করে ব্রেকার বাহির করা হয়।,মনির LM1,শাহ আলম LM1,JE. (Kamrujamman),কাজ শেষে ক্লিয়ারেন্স নিয়ে ফিডার চালু করা হয়।,2019-10-21 16:50:00,2019-10-21 17:30:00,0 days 00:40:00,
16,পুশ পোল স্থাপন ,22-10-2019,গোদার চালা ৩ নং ফিডার,13:25,14:00,ফিডার ট্রিপ করে ব্রেকার বাহির করে শিাটডাউন দেওয়া হয়েছে,আঃ ওয়াদুদ LM-1 ,শামীম  LM-1,J.E (Kamrujaman), কাজ শেষে ক্লিয়ারেন্স দেওয়ায় লাইন চালু করা হয়,2019-10-22 13:25:00,2019-10-22 14:00:00,0 days 00:35:00,
16,পুশপোল স্থাপন করা,22-10-2019,গোদারচালা ৩ নং ফিডার,13:25,14:00,ফিডার ট্রিপ করে ব্রেকার বের করা হয়।,আঃ ওয়াদুদ Lm-1 ,শামীম LM-1,JE (Kamrujamman) ,কাজ শেষে ক্লিয়ারেন্স দিলে লাইন চালু করা হয়।,2019-10-22 13:25:00,2019-10-22 14:00:00,0 days 00:35:00,
17,33 KV লাইনে কাজকরন শ্রীপুর অফিস থেকে,23-10-2019,টেপিরবাড়ি ২ নং ফিডার,13:20,13:50,ফিডার ট্রিপ করে ব্রেকার বাহির করে দেওয়া হয়েছে,মাহাফুজ LM-1,শামীম LM-1,A.G.M (O & M) , কাজ শেষে ক্লিয়ারেন্স দেওয়ায় লাইন চালু করা হয়,2019-10-23 13:20:00,2019-10-23 13:50:00,0 days 00:30:00,
17,33 kv লাইনে কাজকরন শ্রীপুর অফিস থেকে,23-10-2019,টেপিরবাড়ী ২ নং ফিডার,13:20,13:50,ফিডার ট্রিপ করে ব্রেকার বের করে লাইন বন্ধ করা হয়।,মাহফুজ LM-1,শামীম LM-1,AGM (O&M),কাজ শেষে নিরাপদে গিয়ে ক্লিয়ারেন্স দিলে লাইন চালু করা হয়,2019-10-23 13:20:00,2019-10-23 13:50:00,0 days 00:30:00,
18,HT জাম্পার করা,24-10-2019,৪ নং ফিডার ছাতির বাজার,14:50,15:20,ফিডার ট্রিপ করে ব্রেকার বের করে শাটডাউন দেয়া হয়।,ওয়াদুদ LM-1,মনিরুজ্জামান LT,AGM (O&M),কাজ শেষে ক্লিয়ারেন্স দেওয়ায় ফিডার চালু  করা হয়।,2019-10-24 14:50:00,2019-10-24 15:20:00,0 days 00:30:00,
18, H.T জাম্পার করা,24-10-2019,"৪ নং ফিডার , ছাতির বাজার",14:50,15:20, ফিডার ট্রিপ করে ব্রেকার বাহির করে শিাটডাউন দেওয়া হয়েছে,ওয়াদুদ LM-1,মনিরুজ্জামান  LT,A.G.M (O & M),কাজ শেষে ক্লিয়ারেন্স দেওয়ায় লাইন চালু করা হয়।,2019-10-24 14:50:00,2019-10-24 15:20:00,0 days 00:30:00,
